code commune;code postale;Ville;;;;;;;departement;
5051;5700;Étoile-Saint-Cyrice;;44.3209708871;5.6437776147;51;15;2;5;
39089;39240;Cézia;;46.3602146611;5.5753150361;89;2;2;39;
57752;57915;Woustviller;;49.0785622468;7.0055640876;752;50;6;57;
53257;53340;Saulges;;47.9761126561;-0.4059781031;257;22;2;53;
1134;1290;Crottet;;46.2830723360;4.8774797118;134;27;2;1;
89190;89200;Givry;;47.5137032775;3.7947594722;190;35;2;89;
2689;2250;Saint-Pierremont;;49.7138800989;3.8761235335;689;19;2;2;
29281;29140;Tourch;;48.0265824234;-3.8240979250;281;37;4;29;
62270;62460;Divion;;50.4697599295;2.5046527707;270;72;2;62;
47040;47310;Brax;;44.2019599170;0.5575213306;40;15;1;47;
68163;68680;Kembs;;47.6793674876;7.5006313047;163;13;4;68;
10242;10200;Meurville;;48.2042902297;4.6049322578;242;25;1;10;
14271;14123;Fleury-sur-Orne;;49.1444292345;-0.3776191453;271;44;2;14;
33526;33570;Tayac;;44.9605098149;-0.0237017121;526;31;5;33;
62442;62130;Hernicourt;;50.4147047187;2.3077534475;442;43;1;62;
8312;8150;Murtin-et-Bogny;;49.8101486815;4.5394692482;312;22;1;8;
50537;50200;Saint-Pierre-de-Coutances;;49.0395774631;-1.4351397680;537;12;3;50;
22265;22300;Rospez;;48.7363664722;-3.3860359909;265;19;3;22;
16317;16140;Saint-Fraigne;;45.9572719379;-0.0153853235;317;1;3;16;
31512;31570;Saint-Pierre-de-Lages;;43.5681959478;1.6268449458;512;17;3;31;
59219;59295;Estrun;;50.2447242764;3.2949886751;219;13;2;59;
60428;60650;Mont-Saint-Adrien;Le;49.4492939211;2.0142048811;428;2;1;60;
14187;14500;Coulonces;;48.8649411736;-0.9199112728;187;38;4;14;
10297;10150;Pont-Sainte-Marie;;48.3193392667;4.0994930335;297;23;3;10;
27415;27260;Morainville-Jouveaux;;49.2227027964;0.4439767427;415;12;2;27;
46130;46700;Grézels;;44.4680281643;1.1496507879;130;23;1;46;
81090;81600;Fénols;;43.8495035215;2.0559946114;90;5;1;81;
63115;63380;Combrailles;;45.8408553955;2.6415778228;115;29;4;63;
7123;7310;Lachapelle-sous-Chanéac;;44.9541324494;4.3190422375;123;18;3;7;
